Player,Pts,POS,4S,6S,Catches,Dots,Mat,Stumpings,Wkts
Vijay Shankar,242,"6,468",34,24,17,23,33,0,2
Vijay Zol,11,"1,200",3,1,0,0,3,0,0
Vikramjeet Malik,115,"3,533",1,0,3,84,13,0,6
Vinay Kumar,"1,310","9,992",21,9,38,763,105,0,105
Virat Kohli,"1,763","10,200",397,153,68,51,161,0,4
ViratKohli,357,"1,357",83,38,6,1,16,0,0
Virender Sehwag,"1,263","4,819",310,99,31,43,93,0,6
Vishnu Vinod,11,"1,655",1,1,0,0,3,2,0
VRV Singh,156,322,1,0,0,111,18,0,12
VS Yeligati,8,144,0,0,0,8,2,0,0
VVS Laxman,110,"1,446",33,5,4,0,20,0,0
W Jaffer,56,394,14,3,4,0,8,0,0
WA Mota,56,388,2,0,5,24,12,0,4
Washington Sundar,231,"5,267",5,4,7,131,21,0,16
Wayne Parnell,358,"3,408",4,1,5,241,26,0,26
Wriddhiman Saha,804,"12,269",160,59,60,0,120,19,0
Y Gnaneswara Rao,16,633,3,0,2,3,2,0,0
YA Abdulla,141,646,0,0,0,88,11,0,15
Yashpal Singh,20,274,5,0,3,0,8,0,0
Yo Mahesh,202,"1,302",0,0,6,117,17,0,20
Yogesh Nagar,101,"1,386",19,9,5,6,24,0,1
Yogesh Takawale,54,"1,156",17,1,2,0,5,1,0
Younis Khan,3,156,0,0,1,0,1,0,0
Yusuf Pathan,"1,857","11,699",262,158,43,394,174,0,42
Yuvraj Singh,"1,535","11,006",217,149,34,260,132,0,36
Yuzvendra Chahal,"1,048","9,847",0,0,19,650,84,0,100
Zaheer Khan,"1,322","8,146",11,2,22,875,100,0,102
