Toss Decision,Match ID,Toss Winner,Team1,Team2,Winner,DL Method,Total Balls
,61,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,0.0,248.0
,62,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,0.0,243.0
,63,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,0.0,244.0
,66,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0.0,206.0
,67,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,242.0
,68,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Mumbai Indians,0.0,248.0
,71,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,0.0,241.0
,72,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,0.0,233.0
,75,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,0.0,203.0
,77,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,0.0,216.0
,83,Pune Warriors,Rajasthan Royals,Pune Warriors,Rajasthan Royals,0.0,249.0
,87,Deccan Chargers,Deccan Chargers,Delhi Daredevils,Deccan Chargers,0.0,242.0
,93,Delhi Daredevils,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,0.0,243.0
,97,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,0.0,248.0
,102,Mumbai Indians,Mumbai Indians,Pune Warriors,Mumbai Indians,0.0,247.0
,103,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,0.0,240.0
,107,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Mumbai Indians,0.0,220.0
,110,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Deccan Chargers,0.0,244.0
,114,Deccan Chargers,Deccan Chargers,Pune Warriors,Deccan Chargers,0.0,246.0
,115,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0.0,236.0
,118,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0.0,247.0
,129,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,0.0,220.0
,138,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,0.0,237.0
,143,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,1.0,123.0
,145,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,0.0,248.0
,146,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0.0,238.0
,148,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,0.0,253.0
,149,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,0.0,233.0
,156,Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,240.0
,157,Chennai Super Kings,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,0.0,245.0
,161,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,0.0,252.0
,162,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,247.0
,168,Pune Warriors,Pune Warriors,Kings XI Punjab,Pune Warriors,0.0,248.0
,170,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0.0,234.0
,171,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,0.0,244.0
,176,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0.0,233.0
,182,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,246.0
,183,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,0.0,240.0
,185,Deccan Chargers,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,0.0,225.0
,186,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,0.0,233.0
,187,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,0.0,247.0
,196,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,0.0,246.0
,197,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,1.0,175.0
,198,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Delhi Capitals,0.0,224.0
,199,Chennai Super Kings,Pune Warriors,Chennai Super Kings,Pune Warriors,0.0,243.0
,202,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0.0,247.0
,204,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,0.0,246.0
,206,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0.0,219.0
,209,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0.0,245.0
,210,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0.0,248.0
,218,Mumbai Indians,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,0.0,248.0
,221,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0.0,254.0
,223,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,0.0,247.0
,225,Delhi Daredevils,Delhi Daredevils,Pune Warriors,,0.0,63.0
,230,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0.0,252.0
,232,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,0.0,245.0
,234,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,0.0,242.0
