Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls,Team1_Strength,Team2_Strength,Team1_Strength,Team2_Strength
59,2009,4/29/09,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Normal,0,Kings XI Punjab,3.0,,KC Sangakkara,Kingsmead,MR Benson,SL Shastri,,254,419.1666666666667,358.25,31.4375,33.325581395348834
60,2012,5/13/12,Rajasthan Royals,Pune Warriors India,Rajasthan Royals,bat,Normal,0,Rajasthan Royals,45.0,,A Chandila,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,,244,189.5,173.35714285714286,27.635416666666668,67.41666666666667
61,2008,5/25/08,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Kolkata Knight Riders,,3.0,Umar Gul,Eden Gardens,SJ Davis,I Shivram,,248,195.33333333333334,278.75,16.742857142857144,22.3
62,2019,3/29/19,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Sunrisers Hyderabad,,5.0,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",C Shamshuddin,BNJ Oxenford,,243,1530.5,1348.5,1530.5,337.125
63,2014,5/20/14,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Normal,0,Sunrisers Hyderabad,,7.0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong,,244,214.5,287.3,34.125,21.440298507462686
64,2019,4/21/19,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Normal,0,Royal Challengers Bangalore,1.0,,PA Patel,M.Chinnaswamy Stadium,RJ Tucker,VA Kulkarni,,245,754.5,391.1,52.03448275862069,81.47916666666667
65,2011,4/30/11,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,8.0,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,,233,308.3,389.625,35.848837209302324,37.107142857142854
66,2014,5/2/14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Normal,0,Chennai Super Kings,34.0,,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong,,206,308.0,343.9,28.0,23.881944444444443
67,2010,4/2/10,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Normal,0,Royal Challengers Bangalore,,6.0,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",BF Bowden,M Erasmus,,242,238.91666666666666,285.1666666666667,57.34,85.55
68,2013,4/9/13,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Normal,0,Mumbai Indians,44.0,,KD Karthik,Wankhede Stadium,M Erasmus,VA Kulkarni,,248,556.625,484.5,53.01190476190476,30.925531914893618
69,2018,4/23/18,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Normal,0,Kings XI Punjab,4.0,,AS Rajpoot,Feroz Shah Kotla,A Nand Kishore,CK Nandan,,251,1327.5,506.1666666666667,42.82258064516129,47.453125
70,2016,5/8/16,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Normal,0,Gujarat Lions,,5.0,P Kumar,Eden Gardens,M Erasmus,RJ Tucker,,232,215.07142857142858,254.42857142857142,18.359756097560975,127.21428571428571
