Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls
249,2016,4/27/16,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,field,Normal,0,Gujarat Lions,1,,CH Morris,Feroz Shah Kotla,M Erasmus,S Ravi,,242
250,2013,4/29/13,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,,246
251,2011,4/12/11,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,bat,Normal,0,Rajasthan Royals,,6,SK Warne,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,,238
252,2010,3/12/10,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Normal,0,Kolkata Knight Riders,11,,AD Mathews,Dr DY Patil Sports Academy,RE Koertzen,RB Tiffin,,254
253,2008,4/18/08,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Normal,0,Kolkata Knight Riders,140,,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,,225
254,2019,4/30/19,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,0,,,,,M.Chinnaswamy Stadium,UV Gandhe,NJ Llong,,51
255,2014,5/15/14,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Normal,0,Rajasthan Royals,62,,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,,251
256,2013,4/18/13,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,bat,Normal,0,Chennai Super Kings,86,,MEK Hussey,Feroz Shah Kotla,M Erasmus,VA Kulkarni,,234
257,2010,3/14/10,Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,Normal,0,Deccan Chargers,31,,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,,254
258,2011,4/16/11,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Kings XI Punjab,,8,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,,235
259,2008,4/27/08,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Normal,0,Deccan Chargers,,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,,202
260,2014,5/14/14,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Kings XI Punjab,,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak,,242
261,2015,4/19/15,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Normal,0,Rajasthan Royals,,8,AM Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus,,234
