Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls
93,2013,4/12/13,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Normal,0,Sunrisers Hyderabad,,3,A Mishra,Feroz Shah Kotla,Aleem Dar,Subroto Das,,243
94,2010,3/21/10,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,tie,0,,,,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,,259
95,2017,5/11/17,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Normal,0,Kings XI Punjab,7,,WP Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore,,255
96,2011,4/23/11,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Delhi Daredevils,29,,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,,249
97,2015,4/25/15,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Normal,0,Chennai Super Kings,97,,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin,,248
98,2018,5/5/18,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,6,RA Jadeja,Maharashtra Cricket Association Stadium,Nitin Menon,YC Barde,,233
99,2019,4/7/19,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Normal,0,Delhi Capitals,,4,K Rabada,M.Chinnaswamy Stadium,YC Barde,S Ravi,,244
100,2014,5/8/14,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Normal,0,Sunrisers Hyderabad,32,,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,,246
101,2012,4/6/12,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Rajasthan Royals,31,,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,,249
102,2013,4/13/13,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Normal,0,Mumbai Indians,41,,RG Sharma,Wankhede Stadium,S Ravi,SJA Taufel,,247
103,2014,4/27/14,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Normal,0,Chennai Super Kings,,5,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni,,240
104,2019,4/13/19,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,8,AB de Villiers,"Punjab Cricket Association IS Bindra Stadium, Mohali",UV Gandhe,S Ravi,,242
105,2016,4/23/16,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,field,Normal,0,Sunrisers Hyderabad,,5,Mustafizur Rahman,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan,,235
106,2017,4/23/17,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Normal,0,Kings XI Punjab,26,,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus,,245
107,2013,5/5/13,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Normal,0,Mumbai Indians,60,,MG Johnson,Wankhede Stadium,HDPK Dharmasena,CK Nandan,,220
108,2013,4/4/13,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Normal,0,Royal Challengers Bangalore,2,,CH Gayle,M Chinnaswamy Stadium,VA Kulkarni,C Shamshuddin,,247
109,2018,5/12/18,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,Normal,0,Kolkata Knight Riders,31,,SP Narine,Holkar Cricket Stadium,VK Sharma,CK Nandan,,251
110,2010,4/18/10,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,Normal,0,Deccan Chargers,11,,A Symonds,Feroz Shah Kotla,BR Doctrove,SK Tarapore,,244
111,2008,5/14/08,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Normal,0,Mumbai Indians,,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba,,221
112,2017,4/12/17,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Normal,0,Mumbai Indians,,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,,239
113,2011,5/19/11,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,7,YK Pathan,Dr DY Patil Sports Academy,S Ravi,SJA Taufel,,227
114,2012,5/1/12,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Normal,0,Deccan Chargers,13,,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary,,246
115,2013,5/7/13,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Normal,0,Mumbai Indians,65,,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi,,236
116,2018,5/18/18,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Normal,0,Delhi Daredevils,34,,HV Patel,Feroz Shah Kotla,VA Kulkarni,HDPK Dharmasena,,246
117,2011,5/1/11,Rajasthan Royals,Pune Warriors,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,6,LRPL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel,,241
118,2010,4/3/10,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Normal,0,Chennai Super Kings,23,,M Vijay,"MA Chidambaram Stadium, Chepauk",RE Koertzen,RB Tiffin,,247
119,2013,4/10/13,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,10,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,C Shamshuddin,,227
120,2018,4/24/18,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Normal,0,Sunrisers Hyderabad,31,,Rashid Khan,Wankhede Stadium,C Shamshuddin,S Ravi,,230
121,2015,4/22/15,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Normal,0,Chennai Super Kings,27,,SK Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin,,244
122,2019,3/28/19,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Normal,0,Mumbai Indians,6,,JJ Bumrah,M.Chinnaswamy Stadium,CK Nandan,S Ravi,,248
123,2017,4/5/17,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Sunrisers Hyderabad,35,,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,,248
124,2016,4/18/16,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Normal,0,Sunrisers Hyderabad,,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VK Sharma,,234
125,2019,4/22/19,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Normal,0,Delhi Capitals,,6,RR Pant,Sawai Mansingh Stadium,A Nand Kishore,S Ravi,,241
126,2014,4/26/14,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Normal,0,Kings XI Punjab,23,,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth,,237
127,2012,5/12/12,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",S Das,BR Doctrove,,218
128,2008,5/3/08,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Normal,0,Royal Challengers Bangalore,3,,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri,,244
129,2015,5/12/15,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,bat,Normal,0,Delhi Daredevils,,6,Z Khan,Shaheed Veer Narayan Singh International Stadium,RK Illingworth,VA Kulkarni,,220
130,2009,4/30/09,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Normal,0,Delhi Daredevils,,6,DP Nannes,SuperSport Park,GAV Baxter,AM Saheba,,243
131,2015,5/1/15,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Mumbai Indians,8,,AT Rayudu,Wankhede Stadium,HDPK Dharmasena,CK Nandan,,253
132,2012,4/21/12,Delhi Daredevils,Pune Warriors,Delhi Daredevils,field,Normal,0,Pune Warriors,20,,SC Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,,252
133,2009,4/23/09,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,,,,YK Pathan,Newlands,MR Benson,M Erasmus,,267
134,2011,4/20/11,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Normal,0,Kochi Tuskers Kerala,6,,DPMD Jayawardene,Eden Gardens,Aleem Dar,RB Tiffin,,245
135,2014,4/17/14,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,8,YS Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi,,230
136,2012,4/16/12,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Normal,0,Delhi Daredevils,,7,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore,,215
137,2009,4/21/09,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,1,Kolkata Knight Riders,11,,CH Gayle,Kingsmead,DJ Harper,SD Ranade,,187
138,2016,4/17/16,Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants,bat,Normal,0,Kings XI Punjab,,6,M Vohra,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin,,237
139,2008,4/23/08,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Normal,0,Chennai Super Kings,6,,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar,,255
140,2014,4/23/14,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Normal,0,Chennai Super Kings,7,,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth,,248
141,2019,3/24/19,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Normal,0,Delhi Capitals,37,,RR Pant,Wankhede Stadium,YC Barde,S Ravi,,246
142,2012,5/17/12,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,field,Normal,0,Royal Challengers Bangalore,21,,CH Gayle,Feroz Shah Kotla,HDPK Dharmasena,C Shamshuddin,,248
143,2008,5/17/08,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Normal,1,Kings XI Punjab,6,,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen,,123
144,2011,5/15/11,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,field,Normal,0,Kochi Tuskers Kerala,,8,BJ Hodge,Holkar Cricket Stadium,PR Reiffel,RJ Tucker,,161
145,2015,5/19/15,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Normal,0,Mumbai Indians,25,,KA Pollard,Wankhede Stadium,HDPK Dharmasena,RK Illingworth,,248
146,2009,5/9/09,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Chennai Super Kings,,7,S Badrinath,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,,238
147,2016,4/24/16,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,2,SA Yadav,Maharashtra Cricket Association Stadium,CB Gaffaney,A Nand Kishore,,244
148,2018,4/19/18,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Normal,0,Kings XI Punjab,15,,CH Gayle,"Punjab Cricket Association IS Bindra Stadium, Mohali",NJ Llong,AK Chaudhary,,253
149,2014,5/7/14,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Normal,0,Kolkata Knight Riders,,8,G Gambhir,Feroz Shah Kotla,BNJ Oxenford,C Shamshuddin,,233
150,2019,4/10/19,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Normal,0,Mumbai Indians,,3,KA Pollard,Wankhede Stadium,YC Barde,S Ravi,,252
151,2016,5/27/16,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Normal,0,Sunrisers Hyderabad,,4,DA Warner,Feroz Shah Kotla,M Erasmus,CK Nandan,,242
152,2018,5/7/18,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Sunrisers Hyderabad,5,,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",BNJ Oxenford,VK Sharma,,249
153,2016,5/11/16,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Normal,0,Mumbai Indians,,6,KH Pandya,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin,,244
154,2009,5/22/09,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Normal,0,Deccan Chargers,,6,AC Gilchrist,SuperSport Park,BR Doctrove,DJ Harper,,237
155,2018,5/14/18,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,10,UT Yadav,Holkar Cricket Stadium,BNJ Oxenford,VK Sharma,,145
156,2008,5/25/08,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Normal,0,Royal Challengers Bangalore,,5,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,RE Koertzen,,240
157,2012,5/4/12,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Normal,0,Chennai Super Kings,10,,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford,,245
158,2009,5/12/09,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,6,LRPL Taylor,SuperSport Park,M Erasmus,SS Hazare,,248
159,2016,5/17/16,Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants,field,Normal,1,Rising Pune Supergiants,19,,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,C Shamshuddin,,193
160,2015,5/22/15,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,3,A Nehra,JSCA International Stadium Complex,AK Chaudhary,CB Gaffaney,,247
161,2008,5/11/08,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Normal,0,Kolkata Knight Riders,23,,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,,252
162,2012,4/28/12,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Normal,0,Kolkata Knight Riders,47,,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove,,247
163,2019,4/26/19,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Normal,0,Mumbai Indians,46,,RG Sharma,"MA Chidambaram Stadium, Chepauk",NJ Llong,AK Chaudhary,,235
164,2011,5/3/11,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Normal,0,Kolkata Knight Riders,20,,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker,,249
165,2015,4/24/15,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,9,MA Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,,220
166,2016,5/19/16,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,field,Normal,0,Gujarat Lions,,6,DR Smith,Green Park,AK Chaudhary,CK Nandan,,214
167,2014,5/10/14,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Normal,1,Sunrisers Hyderabad,,8,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,,151
168,2012,4/8/12,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Normal,0,Pune Warriors,22,,MN Samuels,Subrata Roy Sahara Stadium,S Das,SJA Taufel,,248
169,2012,5/14/12,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,5,MEK Hussey,Eden Gardens,JD Cloete,SJA Taufel,,242
170,2013,5/21/13,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Normal,0,Chennai Super Kings,48,,MEK Hussey,Feroz Shah Kotla,NJ Llong,RJ Tucker,,234
171,2010,4/4/10,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Normal,0,Delhi Daredevils,37,,PD Collingwood,Feroz Shah Kotla,BF Bowden,M Erasmus,,244
172,2008,5/30/08,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,field,Normal,0,Rajasthan Royals,105,,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen,,223
173,2017,4/26/17,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,7,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong,,239
174,2011,5/5/11,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Kochi Tuskers Kerala,17,,BJ Hodge,Nehru Stadium,S Ravi,RJ Tucker,,247
175,2016,4/10/16,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,9,AD Russell,Eden Gardens,S Ravi,C Shamshuddin,,200
176,2008,4/26/08,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Normal,0,Chennai Super Kings,,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash,,233
177,2013,4/23/13,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Normal,0,Royal Challengers Bangalore,130,,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,,251
178,2015,4/28/15,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Chennai Super Kings,2,,DJ Bravo,"MA Chidambaram Stadium, Chepauk",RM Deshpande,VA Kulkarni,,250
179,2011,4/18/11,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,field,Normal,1,Kochi Tuskers Kerala,,7,BB McCullum,Nehru Stadium,K Hariharan,AL Hill,,196
180,2010,3/19/10,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Deccan Chargers,6,,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,,243
181,2019,4/29/19,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Sunrisers Hyderabad,45,,DA Warner,"Rajiv Gandhi International Stadium, Uppal",CK Nandan,S Ravi,,257
182,2008,4/20/08,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Normal,0,Royal Challengers Bangalore,,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,,246
183,2016,4/16/16,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Normal,0,Kolkata Knight Riders,,8,G Gambhir,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan,,240
184,2015,5/2/15,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Normal,0,Sunrisers Hyderabad,22,,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,K Srinivasan,,248
185,2012,5/10/12,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Normal,0,Delhi Daredevils,,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal",JD Cloete,SJA Taufel,,225
186,2013,4/26/13,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Kolkata Knight Riders,,6,JH Kallis,Eden Gardens,CK Nandan,S Ravi,,233
187,2011,4/11/11,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Normal,0,Kolkata Knight Riders,9,,JH Kallis,Eden Gardens,RE Koertzen,SK Tarapore,,247
188,2014,5/25/14,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Normal,0,Mumbai Indians,,5,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker,,215
189,2013,5/18/13,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Normal,0,Kings XI Punjab,50,,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,CK Nandan,,242
190,2011,5/13/11,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Kings XI Punjab,,6,KD Karthik,Holkar Cricket Stadium,S Asnani,RJ Tucker,,247
191,2017,5/7/17,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,6,SP Narine,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin,,216
192,2010,4/16/10,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Normal,0,Deccan Chargers,,5,RG Sharma,Himachal Pradesh Cricket Association Stadium,M Erasmus,AM Saheba,,247
193,2016,4/29/16,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,Normal,0,Gujarat Lions,,3,DR Smith,Maharashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford,,252
194,2009,5/5/09,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Normal,0,Rajasthan Royals,78,,GC Smith,Kingsmead,SS Hazare,IL Howell,,252
195,2011,4/9/11,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,8,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,SK Tarapore,,237
196,2012,5/19/12,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,bat,Normal,0,Kolkata Knight Riders,34,,Shakib Al Hasan,Subrata Roy Sahara Stadium,S Asnani,BR Doctrove,,246
197,2008,5/18/08,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Normal,1,Chennai Super Kings,3,,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,,175
198,2019,5/4/19,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Delhi Capitals,,5,A Mishra,Feroz Shah Kotla,AY Dandekar,IJ Gould,,224
199,2012,4/14/12,Pune Warriors,Chennai Super Kings,Chennai Super Kings,bat,Normal,0,Pune Warriors,,7,JD Ryder,Subrata Roy Sahara Stadium,Aleem Dar,BNJ Oxenford,,243
200,2009,4/18/09,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Normal,0,Mumbai Indians,19,,SR Tendulkar,Newlands,BR Doctrove,K Hariharan,,244
201,2011,4/14/11,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Deccan Chargers,33,,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,,250
202,2015,5/10/15,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Normal,0,Chennai Super Kings,12,,RA Jadeja,"MA Chidambaram Stadium, Chepauk",M Erasmus,CK Nandan,,247
203,2008,4/30/08,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Delhi Daredevils,10,,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram,,243
204,2012,4/22/12,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Normal,0,Kings XI Punjab,,6,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker,,246
205,2015,5/4/15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Normal,0,Kolkata Knight Riders,35,,UT Yadav,Eden Gardens,AK Chaudhary,M Erasmus,,245
206,2009,4/27/09,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Normal,0,Mumbai Indians,92,,SR Tendulkar,St George's Park,BG Jerling,RB Tiffin,,219
207,2009,5/2/09,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Normal,0,Chennai Super Kings,18,,SB Jakati,New Wanderers Stadium,DJ Harper,RE Koertzen,,246
208,2015,4/20/15,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,6,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney,,238
209,2012,5/12/12,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Normal,0,Mumbai Indians,27,,RG Sharma,Eden Gardens,S Ravi,SJA Taufel,,245
210,2008,5/24/08,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Rajasthan Royals,10,,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri,,248
211,2011,5/9/11,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Normal,0,Chennai Super Kings,63,,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,,246
212,2017,4/9/17,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Normal,0,Sunrisers Hyderabad,,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,,216
213,2014,5/22/14,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Kolkata Knight Riders,30,,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan,,247
214,2019,3/30/19,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,tie,0,,,,PP Shaw,Feroz Shah Kotla,AY Dandekar,Nitin Menon,,259
215,2019,4/20/19,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Normal,0,Delhi Capitals,,5,SS Iyer,Feroz Shah Kotla,UV Gandhe,C Shamshuddin,,248
216,2014,5/4/14,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,4,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VA Kulkarni,,250
217,2010,3/28/10,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Normal,0,Mumbai Indians,41,,Harbhajan Singh,Dr DY Patil Sports Academy,S Das,K Hariharan,,239
218,2017,5/21/17,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Normal,0,Mumbai Indians,1,,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,S Ravi,,248
219,2011,4/29/11,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Normal,0,Royal Challengers Bangalore,26,,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,,246
220,2018,4/25/18,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,5,MS Dhoni,M.Chinnaswamy Stadium,NJ Llong,VK Sharma,,251
221,2012,4/12/12,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Normal,0,Chennai Super Kings,,5,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker,,254
222,2013,4/5/13,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Normal,0,Sunrisers Hyderabad,22,,A Mishra,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,,237
223,2018,5/20/18,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Normal,0,Delhi Daredevils,11,,A Mishra,Feroz Shah Kotla,HDPK Dharmasena,CK Nandan,,247
224,2016,5/8/16,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Normal,0,Sunrisers Hyderabad,85,,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,S Ravi,C Shamshuddin,,226
