POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
42,Murali Vijay,167.5,16,0,0,34,20,5,0
43,Ishant Sharma,167,12,11,121,0,0,3,0
44,Shikhar Dhawan,165.5,14,1,5,47,7,6,0
45,Ambati Rayudu,164.5,16,0,3,44,9,7,1
46,Brad Hodge,151.5,14,7,28,26,9,1,0
47,James Hopes,150.5,10,7,53,22,3,3,0
48,Brendon McCullum,148.5,13,0,0,35,16,2,0
49,Rohit Sharma,147,16,0,4,32,13,7,0
50,Robin Uthappa,140,14,0,0,27,10,12,3
51,Alfonso Thomas,139.5,11,11,96,0,0,2,0
52,Shadab Jakati,137.5,15,10,80,0,0,9,0
53,Venugopal Rao,133.5,14,0,3,30,13,4,0
54,David Warner,133.5,13,0,0,34,11,4,0
55,Manoj Tiwary,133,15,0,4,26,14,6,0
56,Brett Lee,130.5,12,5,108,0,0,2,0
57,Subramaniam Badrinath,129,16,0,0,38,9,1,0
58,Lakshmipathy Balaji,129,14,10,89,0,0,2,0
59,Pragyan Ojha,126,10,10,86,0,0,2,0
60,Rahul Dravid,124.5,12,0,0,45,2,2,0
61,AB de Villiers,124,16,0,0,21,14,7,2
62,Gautam Gambhir,123,15,0,0,44,3,1,0
63,Dinesh Karthik,122,14,0,0,32,7,7,0
64,Shanthakumaran Sreesanth,121,9,7,94,0,0,1,0
65,Mahela Jayawardene,120,13,0,0,35,5,6,0
66,Wayne Parnell,117.5,8,9,75,2,1,1,0
67,Tillakaratne Dilshan,115,10,1,16,33,3,1,0
68,JP Duminy,113.5,10,4,44,9,8,2,0
69,Abhimanyu Mithun,113,12,5,67,3,1,7,0
70,Shakib Al Hasan,107.5,7,11,59,4,0,0,0
71,Amit Singh,106.5,9,9,75,0,0,0,0
72,Ashok Menaria,104.5,13,2,30,10,10,3,0
73,Manish Pandey,103.5,10,0,0,28,6,5,0
74,Rajat Bhatia,101.5,14,8,56,3,0,4,0
75,Siddharth Trivedi,101,12,10,66,0,0,0,0
76,Sunny Sohal,97.5,11,0,0,25,10,0,0
77,Parthiv Patel,92,14,0,0,25,2,8,1
78,Bhargav Bhatt,89,10,9,55,0,0,1,0
79,Suraj Randiv,86,8,6,60,0,0,2,0
80,Naman Ojha,86,14,0,0,11,11,8,0
81,Shalabh Srivastava,82,6,8,49,0,0,2,0
82,Ajit Agarkar,76.5,7,8,46,1,0,0,0
83,Dwayne Bravo,74.5,6,6,40,1,1,3,0
84,Ryan McLaren,73.5,6,5,30,7,1,2,0
85,Shaun Tait,73,4,6,42,1,0,3,0
86,Bharat Chipli,70,14,0,1,21,4,1,0
87,Dwaraka Ravi Teja,70,12,0,1,17,4,5,0
88,Aiden Blizzard,69.5,6,0,0,21,2,4,0
89,Ali Murtaza,69,5,3,56,0,0,1,0
90,Raiphi Gomez,66.5,11,5,33,4,1,1,0
91,Jaydev Unadkat,66,7,6,40,0,0,2,0
92,Mitchell Marsh,65,5,7,25,2,3,0,0
93,Saurabh Tiwary,62.5,16,0,0,13,5,5,0
94,Dhawal Kulkarni,62,6,5,42,0,0,1,0
95,Ross Taylor,62,12,0,0,11,7,4,0
96,James Franklin,61.5,8,3,14,10,2,2,0
97,Mayank Agarwal,61.5,8,0,0,16,4,3,0
98,Roelof van der Merwe,61,4,5,36,1,0,2,0
99,Eoin Morgan,60.5,12,0,0,17,3,3,0
100,Shrikant Wagh,59.5,7,4,43,0,0,1,0
101,Andrew Symonds,59,11,1,10,9,3,5,0
102,Ashok Dinda,58.5,6,5,41,0,0,0,0
103,Tim Southee,57,5,4,43,0,0,0,0
104,Mithun Manhas,56.5,10,0,15,8,4,3,0
105,Muttiah Muralitharan,55.5,5,2,46,0,0,1,0
106,P Parameswaran,55,5,4,41,0,0,0,0
107,Syed Mohammad,54,5,5,29,2,0,1,0
108,Shahbaz Nadeem,51,5,4,37,0,0,0,0
109,Umesh Yadav,50.5,7,2,36,0,0,3,0
110,Abhishek Nayar,49.5,10,2,15,9,0,2,0
111,Davy Jacobs,49,6,0,0,10,4,2,2
112,Murali Kartik,48.5,6,1,40,1,0,1,0
113,Charl Langeveldt,48,3,5,27,0,1,0,0
114,Yogesh Nagar,47,11,1,5,6,6,1,0
115,Bipul Sharma,46,4,4,27,1,0,1,0
116,Srikkanth Anirudha,45.5,9,0,0,6,3,8,0
117,JJ van der Wath,45.5,3,3,29,1,1,0,0
118,Ryan ten Doeschate,45,6,0,0,9,5,2,0
119,Bhuvneshwar Kumar,43.5,4,3,28,0,0,2,0
120,Tirumalasetti Suman,42,8,0,7,5,5,2,0
121,Thisara Perera,41,4,2,24,4,0,0,0
122,David Hussey,40.5,8,1,4,3,3,6,0
123,Ajinkya Rahane,39.5,10,0,0,12,2,1,0
124,Varun Aaron,38,4,2,31,0,0,0,0
125,Abhishek Raut,36.5,7,0,8,5,1,5,0
126,Aaron Finch,33,6,0,5,3,3,4,0
127,Asad Pathan,31.5,6,0,7,5,2,2,0
128,Manpreet Gony,31,3,4,17,0,0,0,0
129,Anand Rajan,30.5,2,3,15,0,0,2,0
130,Aavishkar Salvi,30,2,3,17,0,0,1,0
131,Travis Birt,29.5,5,0,0,9,2,0,0
132,Luke Pomersbach,29.5,5,0,0,4,2,5,0
133,Ramesh Powar,29,5,2,22,0,0,0,0
134,Harmeet Singh Bansal,27.5,2,3,17,0,0,0,0
135,Manvinder Bisla,27.5,5,0,0,8,0,1,2
136,Mohammad Kaif,27.5,8,0,0,5,0,6,0
137,Cameron White,27,6,0,0,6,2,2,0
138,Shreevats Goswami,25,5,0,0,5,0,4,1
139,Amit Paunikar,25,4,0,0,9,0,1,0
140,Wriddhiman Saha,24,7,0,0,2,4,2,0
141,Michael Klinger,22.5,4,0,0,9,0,0,0
142,Sunny Singh,21,6,0,0,6,1,1,0
143,Ryan Ninan,21,2,3,8,0,0,1,0
144,Dirk Nannes,20.5,2,2,11,0,0,1,0
145,Dishant Yagnik,20,7,0,0,1,0,3,4
146,Mohnish Mishra,19.5,6,0,0,5,2,0,0
147,Ankeet Chavan,19.5,2,0,17,0,0,1,0
148,Callum Ferguson,17.5,5,0,0,6,0,1,0
149,Graeme Smith,17.5,4,0,0,6,0,1,0
150,Rajagopal Sathish,17,9,0,7,1,0,3,0
151,Sourav Ganguly,17,4,0,0,3,2,1,0
152,Mandeep Singh,16,6,0,0,4,1,1,0
153,Abhishek Jhunjhunwala,16,3,0,1,2,0,4,0
154,Nathan McCullum,16,2,0,10,0,1,1,0
155,Y Gnaneswara Rao,15.5,2,0,3,3,0,2,0
156,Stuart Binny,14.5,6,0,1,2,1,2,0
157,VVS Laxman,14.5,3,0,0,3,2,0,0
158,Owais Shah,14.5,3,0,0,1,2,2,0
159,Nayan Doshi,13.5,3,1,10,0,0,0,0
160,Cheteshwar Pujara,12.5,7,0,0,4,0,1,0
161,Nuwan Kulasekara,10.5,1,1,7,0,0,0,0
162,Sarabjit Ladda,10.5,2,0,8,0,0,1,0
163,James Faulkner,10.5,1,1,7,0,0,0,0
164,Pankaj Singh,10.5,1,0,3,0,0,3,0
165,Ishank Jaggi,10,2,0,0,3,0,1,0
166,Nathan Rimmington,9,1,0,9,0,0,0,0
167,Brad Haddin,8.5,1,0,0,2,1,0,0
168,SS Mundhe,7.5,1,1,4,0,0,0,0
169,Faiz Fazal,7.5,2,0,0,3,0,0,0
170,Arun Karthik,7.5,3,0,0,1,0,2,0
171,Balachandra Akhil,7.5,1,0,4,0,1,0,0
172,Kedar Jadhav,7.5,6,0,0,1,0,2,0
173,Sachin Rana,7,2,0,2,2,0,0,0
174,Scott Styris,6,2,0,1,1,0,1,0
175,Jacob Oram,5.5,2,1,2,0,0,0,0
176,Joginder Sharma,5,1,0,5,0,0,0,0
177,Colin Ingram,5,3,0,0,2,0,0,0
178,Andrew McDonald,5,1,0,5,0,0,0,0
179,Laxmi Ratan Shukla,5,1,0,0,2,0,0,0
180,Harpreet Singh,5,2,0,0,0,0,2,0
181,Kamran Khan,5,1,0,5,0,0,0,0
182,Pinal Shah,5,2,0,0,1,0,0,1
183,Love Ablish,3,1,0,3,0,0,0,0
184,Vikramjeet Malik,3,1,0,3,0,0,0,0
185,P Prasanth,3,1,0,3,0,0,0,0
186,Kedar Devdhar,2.5,1,0,0,0,0,0,1
187,Michael Lumb,2.5,1,0,0,0,0,1,0
188,I Malhotra,2.5,1,0,0,1,0,0,0
189,Siddharth Chitnis,2.5,1,0,0,1,0,0,0
190,Mark Boucher,2.5,4,0,0,0,0,1,0
191,SA Asnodkar,2.5,1,0,0,1,0,0,0
192,Abrar Kazi,2,1,0,2,0,0,0,0
193,Unmukt Chand,0,2,0,0,0,0,0,0
194,S Sriram,0,1,0,0,0,0,0,0
195,Matthew Wade,0,3,0,0,0,0,0,0
196,Tim Paine,0,2,0,0,0,0,0,0
