POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
77,Shivil Kaushik,69,7,6,48,0,0,0,0
78,David Miller,66.5,14,0,0,11,4,10,0
79,Saurabh Tiwary,66.5,10,0,0,17,4,4,0
80,Manan Vohra,65.5,7,0,0,19,3,3,0
81,Stuart Binny,65.5,14,1,28,5,4,3,0
82,Gurkeerat Mann Singh,64.5,7,2,7,11,3,5,0
83,Hardik Pandya,64.5,11,3,29,4,0,6,0
84,Hashim Amla,64,6,0,0,20,4,0,0
85,Kane Richardson,63.5,4,7,34,0,0,2,0
86,Mohammed Shami,59,8,5,39,0,0,1,0
87,Bipul Sharma,56.5,7,3,21,1,5,2,0
88,Varun Aaron,55,8,2,48,0,0,0,0
89,Sachin Baby,54.5,11,2,5,9,5,1,0
90,KC Cariappa,54,5,3,35,0,1,2,0
91,James Faulkner,53,7,2,21,7,0,3,0
92,Brad Hogg,52.5,5,4,31,0,0,3,0
93,Ishant Sharma,52.5,4,3,37,0,0,2,0
94,Kuldeep Yadav,51.5,3,6,28,0,0,1,0
95,Nathan Coulter-Nile,50,4,3,37,1,0,0,0
96,Kane Williamson,49.5,6,0,2,14,0,5,0
97,Shaun Marsh,49,6,0,0,13,4,1,0
98,Nitish Rana,48.5,4,0,3,7,8,0,0
99,Pravin Tambe,48.5,7,5,26,1,0,1,0
100,Usman Khawaja,48,6,0,0,14,3,1,0
101,Jayant Yadav,47.5,5,2,38,0,0,1,0
102,Shadab Jakati,47,6,2,30,0,0,4,0
103,Imran Tahir,45,4,5,25,1,0,0,0
104,Jason Holder,42.5,4,2,27,2,1,0,0
105,Mitchell Marsh,42,3,4,28,0,0,0,0
106,Eoin Morgan,41.5,7,0,0,8,4,3,0
107,Pradeep Sahu,40.5,5,3,24,1,1,0,0
108,RP Singh,39.5,4,3,29,0,0,0,0
109,Vinay Kumar,39,3,3,25,0,1,0,0
110,Tabraiz Shamsi,39,4,3,26,0,0,1,0
111,Kyle Abbott,38.5,5,2,28,0,1,0,0
112,Shahbaz Nadeem,38,4,2,31,0,0,0,0
113,Harshal Patel,36.5,5,1,28,0,0,2,0
114,Pawan Negi,35,8,1,11,2,3,2,0
115,George Bailey,34.5,6,0,0,9,2,2,0
116,Parveez Rasool,33,4,1,22,1,0,2,0
117,Sam Billings,31.5,5,0,0,4,4,3,0
118,Sarfaraz Khan,31.5,5,0,0,7,4,0,0
119,Mitchell Johnson,30.5,3,2,21,0,0,1,0
120,Ashish Reddy,30,4,1,5,2,4,1,0
121,Karn Sharma,30,5,0,19,3,1,0,0
122,John Hastings,29,2,2,22,0,0,0,0
123,Ankit Rajpoot,28.5,4,3,18,0,0,0,0
124,Albie Morkel,25.5,2,2,9,0,2,1,0
125,Ankit Sharma,23,3,1,17,0,0,1,0
126,Kevin Pietersen,23,4,0,0,4,3,1,0
127,Rishi Dhawan,22.5,2,2,12,0,1,0,0
128,Scott Boland,21,2,2,14,0,0,0,0
129,Irfan Pathan,20.5,4,0,18,0,0,1,0
130,Shreyas Iyer,18.5,6,0,0,2,1,4,0
131,Martin Guptill,18,3,0,0,3,3,0,0
132,Colin Munro,17.5,4,0,5,3,0,2,0
133,Rajagopal Sathish,17.5,4,1,8,1,1,0,0
134,Trent Boult,17,1,1,11,0,0,1,0
135,Eklavya Dwivedi,17,4,0,0,2,2,2,0
136,Deepak Chahar,15.5,2,0,13,0,0,1,0
137,Ishan Kishan,15,5,0,0,5,0,1,0
138,Travis Head,14.5,3,0,0,3,2,0,0
139,Kedar Jadhav,14.5,4,0,0,2,2,1,0
140,Adam Milne,13,1,1,7,0,0,1,0
141,Anureet Singh,12,2,0,12,0,0,0,0
142,Pradeep Sangwan,11.5,2,0,9,0,0,1,0
143,Mayank Agarwal,11,3,0,0,3,1,0,0
144,David Wiese,8.5,1,0,6,0,0,1,0
145,Farhaan Behardien,7.5,3,0,0,2,0,1,0
146,Nikhil Naik,7.5,2,0,0,1,0,2,0
147,Chris Lynn,6,2,0,0,0,1,1,0
148,Jaydev Unadkat,5,1,0,5,0,0,0,0
149,Aditya Tare,5,3,0,0,1,0,1,0
150,Dale Steyn,5,1,0,5,0,0,0,0
151,Shreyas Gopal,4,1,0,4,0,0,0,0
152,Lendl Simmons,3.5,1,0,0,0,1,0,0
153,Swapnil Singh,3,1,0,3,0,0,0,0
154,Sarabjit Ladda,3,1,0,3,0,0,0,0
155,Mandeep Singh,2.5,1,0,0,0,0,1,0
156,Akshdeep Nath,2.5,4,0,0,1,0,0,0
157,Unmukt Chand,0,1,0,0,0,0,0,0
158,Jagadeesha Suchith,0,1,0,0,0,0,0,0
159,Peter Handscomb,0,2,0,0,0,0,0,0
