,Avg_Balls
WP Saha,8.48446472
WPUJC Vaas,4.468659737
Washington Sundar,6.912951838
Y Gnaneswara Rao,8.03764877
Y Nagar,4.927485881
Y Venugopal Rao,8.887392361
YA Abdulla,8.489699827
YK Pathan,10.79857721
YS Chahal,3.817642828
YV Takawale,8.603663586
Yashpal Singh,7.588172118
Younis Khan,7.17477418
Yuvraj Singh,11.40102044
Z Khan,4.372855236
